key,visitor_id,call_id,chat_id,external_id,form2lead_id,tickets_id
"event:191342","5gi","call_66yuo","chat_k9a1l","ext_krtuj","","ticket_665os"
"event:241399","9yj","","chat_lx0uj","ext_g5po9","f2l_8czaq","ticket_oyyub"
"event:639992","hok","call_6ih1h","chat_8kv10","ext_1v2xa","","ticket_0jtg4"
"event:744738","6b7","call_y03jr","chat_9z6re","ext_lzmb6","f2l_ajo24","ticket_i7u94"
"event:368723","2yt","call_xslfa","chat_pw16n","ext_p75yy","f2l_vuyn0","ticket_7fuwk"
"event:645115","1oa","call_7p5w8","chat_z4tl6","ext_o4j5s","",""
"event:508075","rm9","call_y2iq1","chat_crtzu","ext_z0ld5","",""
"event:189644","yj5","call_h2v8i","chat_ct072","ext_4rwzi","","ticket_n314l"
"event:277460","qh5","call_xkje1","","ext_fe82c","","ticket_1yztq"
"event:185792","3wp","call_4rwd3","chat_lb98f","ext_37dx2","","ticket_hl15l"
"event:686935","7b7","call_x67fj","chat_u9j71","","f2l_aj80t","ticket_8twip"
"event:395462","8ec","","chat_9ar6j","ext_6uzwn","",""
"event:691956","fcq","","chat_80m7f","ext_qu331","",""
"event:823168","fx4","call_zp05u","chat_i9086","ext_m0n23","f2l_v3wjz","ticket_ujdv9"
"event:215118","oo0","call_52xty","chat_fo9ku","ext_3t41s","","ticket_1tgw8"
"event:852900","cke","call_2mn8p","","ext_yd4mu","","ticket_7qgi4"
"event:544272","8zc","call_lg7vx","chat_o6upt","ext_rvwap","f2l_ssc9d","ticket_rdo7k"
"event:613250","t0q","call_1gaob","chat_l6zrt","","f2l_a8fl0","ticket_iuu4o"
"event:285485","d85","call_592lo","chat_69aif","ext_k803a","",""
"event:803497","fj5","call_sy7bk","chat_97tls","","f2l_45lqk","ticket_2sjtf"
"event:390615","l5p","call_oz3nm","chat_ymxqj","","f2l_teeo9","ticket_pnuym"
"event:562245","spl","call_tlku1","chat_ptaum","ext_uojuu","f2l_q4z6u",""
"event:456567","1oi","call_pc6sw","chat_gou73","ext_yitg7","f2l_rnfph","ticket_t9l55"
"event:677391","y04","call_9thxj","chat_2wymp","ext_fimh1","","ticket_kna2d"
